Month,TotalAirportsCIF,TotalParcelPostCIF,TotalSeaportsCIF,TotalAirportsWeight,TotalParcelPostWeight,TotalSeaportsWeight
Jan-00,394427,4434,1346468,4831,50,903462
Feb-00,592551,9523,1631598,7205,13,1276569
Mar-00,621641,6081,1801851,7591,10,1167420
Apr-00,515741,4847,1657750,6252,13,1242467
May-00,608863,4658,1690275,7512,12,1086912
Jun-00,711430,4399,1668470,7363,9,985843
Jul-00,710991,5031,1752313,8107,12,1012961
Aug-00,694572,4542,2047237,8857,13,1283662
Sep-00,695629,5315,2055510,7948,10,1219432
Oct-00,755632,4389,2184008,8316,8,1164518
Nov-00,784485,6065,2213264,8156,15,1229122
Dec-00,710256,4316,2010336,6878,10,1228476
Jan-01,514601,3464,1727960,5128,10,1084735
Feb-01,567398,7761,1602761,6259,9,1019010
Mar-01,666582,7496,2031780,7165,12,1445361
Apr-01,607711,5380,1855875,6417,12,1077428
May-01,620255,6311,1917971,7397,15,1235934
Jun-01,624405,4172,2031797,7417,9,1073004
Jul-01,654382,5466,2115963,7855,11,1313494
Aug-01,643993,5168,2094271,8333,11,1100241
Sep-01,558550,4576,2066624,7143,12,1481820
Oct-01,625768,4821,2279308,7962,10,1391925
Nov-01,621753,5435,2317969,7246,14,1200995
Dec-01,653341,6370,1870223,6490,18,1120196
Jan-02,471635,3898,2007786,5090,10,1516394
Feb-02,518183,7403,1792185,5911,10,1287302
Mar-02,597832,3650,1886794,6455,13,1179905
Apr-02,588993,4225,2157498,6552,10,1450499
May-02,581388,5039,2000278,7006,13,1270970
Jun-02,568833,5063,1722530,6610,12,1050054
Jul-02,633094,3760,2120035,8467,12,1365343
Aug-02,595543,3736,2352695,8281,12,1558768
Sep-02,601805,3988,2149933,8145,18,1179999
Oct-02,637437,3769,2296922,8099,13,1393080
Nov-02,723979,4326,2268763,7687,11,1428090
Dec-02,578329,4817,2056812,7288,10,1230153
Jan-03,424480,3706,1940801,5397,9,1326290
Feb-03,478740,6559,1794167,6021,27,1351040
Mar-03,586522,3113,1881188,7333,13,1300048
Apr-03,531162,3092,1951949,6608,11,1258026
May-03,562409,2579,2021988,7379,10,1411223
Jun-03,594300,2808,1862074,7499,9,1264696
Jul-03,627423,2674,2103566,8374,13,1596579
Aug-03,558703,2588,2048799,7747,8,1288329
Sep-03,637869,3343,2222021,8426,12,1510759
Oct-03,658321,3022,2158993,8441,9,1503707
Nov-03,631903,2521,2067329,8309,7,1427472
Dec-03,601205,2689,2206152,7938,13,1526402
Jan-04,523269,1795,1964564,6009,5,1424119
Feb-04,523276,2179,1731310,6903,9,1312285
Mar-04,638176,2614,2028264,8778,6,1403692
Apr-04,589829,2407,2293074,7965,5,1821176
May-04,626280,2746,2084471,8342,4,1179946
Jun-04,660762,2074,2401356,8503,6,1615857
Jul-04,614729,2660,2220043,8718,3,1537890
Aug-04,661616,2307,2314609,9674,4,1495813
Sep-04,640007,2540,2456016,9354,4,1506924
Oct-04,634406,2520,2379457,9048,34,1817303
Nov-04,703055,2424,2500749,10259,5,1556621
Dec-04,647853,2231,2423864,9141,4,1836440
Jan-05,469463,1479,2000906,6209,2,1187030
Feb-05,596262,2205,2174947,8021,3,1686727
Mar-05,666935,2262,2311616,8692,3,1654315
Apr-05,628915,2082,2313761,8250,4,1664035
May-05,633217,2144,2337712,9265,11,1593717
Jun-05,690478,2068,2318021,9457,14,1520690
Jul-05,650224,2111,2378285,9864,4,1645129
Aug-05,722957,2516,2587412,10490,3,1480659
Sep-05,687389,2374,2568294,9834,4,1582107
Oct-05,719868,2169,2323682,9327,5,1410049
Nov-05,712811,2252,2790808,9875,5,1678959
Dec-05,661177,1847,2300856,8507,6,1350080
Jan-06,515356,1537,2283159,6642,5,1868665
Feb-06,553542,1921,2208860,7109,5,1377027
Mar-06,717312,2409,2387867,9018,8,1470432
Apr-06,636478,1697,2342139,7469,5,1273242
May-06,739653,2523,2773412,9012,8,1669074
Jun-06,715689,1988,2389463,8957,9,1207858
Jul-06,701796,1898,2721228,9325,6,1556343
Aug-06,729404,2124,2949497,9926,6,1619592
Sep-06,701888,1907,2759995,9283,6,1507229
Oct-06,777149,1828,2842424,9915,6,1719141
Nov-06,806353,1834,2799663,9810,6,1710590
Dec-06,674595,1386,2602577,8319,5,1531439
Jan-07,556366,1515,2516909,6525,38,1623015
Feb-07,620158,1813,2357456,7293,8,1265129
Mar-07,737000,2060,2505446,8402,6,1388019
Apr-07,670971,1523,2500014,8114,11,1587390
May-07,724829,1625,2564993,8769,6,1492109
Jun-07,702466,1424,2377879,8763,5,1394565
Jul-07,677842,1480,2759517,9157,6,1795004
Aug-07,712859,1881,2888282,9322,8,1538451
Sep-07,721154,2546,2770693,9293,8,1557549
Oct-07,802421,2076,3031550,10022,13,1681381
Nov-07,822558,2274,3040073,10101,10,1563935
Dec-07,659632,1590,2963748,8483,7,1580392
Jan-08,609235,1715,2775184,7091,15,1452842
Feb-08,630737,1854,2811935,7626,7,1604255
Mar-08,704337,1913,2754027,8261,10,1575878
Apr-08,713010,2068,3232343,8358,10,1695685
May-08,699505,2000,3091639,8454,16,1651793
Jun-08,757950,2146,3005474,8415,9,1521885
Jul-08,776860,2266,3437806,8442,11,1597700
Aug-08,741586,1990,3531367,8354,28,1607527
Sep-08,828499,2441,3601718,8976,10,1781830
Oct-08,908647,2348,3859973,9001,12,1804024
Nov-08,862088,2220,3392272,7931,11,1569846
Dec-08,808147,2264,3378167,7205,10,1538877
Jan-09,623096,1677,2652862,5665,7,1401768
Feb-09,683957,2242,2227192,5926,7,926084
Mar-09,849127,2798,2775455,7103,11,1350707
Apr-09,728465,2695,2616452,6342,10,1503852
May-09,755761,2773,2277338,6436,10,1310250
Jun-09,749181,2634,2221955,7160,10,956437
Jul-09,752408,3122,2533013,7632,11,1415107
Aug-09,880600,2992,2565769,7409,12,1434395
Sep-09,784997,3436,2534854,7655,19,1335117
Oct-09,812112,2849,2550361,8243,17,1379208
Nov-09,782806,2466,2568307,8629,15,1439357
Dec-09,718694,2413,2726375,7834,14,1682484
Jan-10,553903,1480,2314859,5748,9,1228061
Feb-10,635831,1981,2367253,6571,11,1351551
Mar-10,771028,2261,2703766,8104,12,1627716
Apr-10,681190,1670,2535375,7220,8,1429491
May-10,767752,1926,2603806,7853,10,1389467
Jun-10,769097,2085,2719321,7992,9,1535229
Jul-10,782899,1749,2959493,8288,14,1692531
Aug-10,797401,1657,2786023,8410,8,1369346
